State,County,% Adults with Obesity,Food Environment Index,% Physically Inactive,# Limited Access to Healthy Foods,% Frequent Physical Distress,% Frequent Mental Distress,% With Access to Exercise Opportunities,Life Expectancy,Median Household Income,# Uninsured Adults,% Excessive Drinking,,,,STNAME,CTYNAME,POPESTIMATE2022,,TRUE
Alabama,,39,5.3,28,418731,11,16,61,74.8,53990,424832,16,,,,Alabama,Alabama,5074296,,FALSE
Alabama,Autauga,37,6.6,26,7106,11,16,56,76.6,66444,4434,17,,,,Alabama,Autauga,59759,,TRUE
Alabama,Baldwin,33,7.5,23,14466,10,16,66,77.7,65658,17707,19,,,,Alabama,Baldwin,246435,,TRUE
Alabama,Barbour,46,5.8,36,2865,15,18,55,72.9,38649,2169,13,,,,Alabama,Barbour,24706,,TRUE
Alabama,Bibb,38,7.4,32,102,13,17,18,73.6,48454,1937,16,,,,Alabama,Bibb,22005,,TRUE
Alabama,Blount,33,7.8,29,1440,12,17,41,74.2,56894,5607,16,,,,Alabama,Blount,59512,,TRUE
Alabama,Bullock,48,4.3,40,3529,15,18,3,73.8,32027,730,13,,,,Alabama,Bullock,10202,,TRUE
Alabama,Butler,45,6.8,32,1449,13,18,45,73.5,39442,1841,14,,,,Alabama,Butler,18650,,TRUE
Alabama,Calhoun,37,6,28,18258,12,17,65,72.8,48166,10729,16,,,,Alabama,Calhoun,115788,,TRUE
Alabama,Chambers,41,6.9,32,2772,13,18,50,73.8,45447,3076,15,,,,Alabama,Chambers,34088,,TRUE
Alabama,Cherokee,41,7.4,29,1302,12,18,38,74,46365,2338,18,,,,Alabama,Cherokee,25302,,TRUE
Alabama,Chilton,38,7.1,31,1907,13,18,33,74.4,55142,5003,16,,,,Alabama,Chilton,45884,,TRUE
Alabama,Choctaw,41,6.1,31,1808,13,18,25,74.2,40601,1056,15,,,,Alabama,Choctaw,12439,,TRUE
Alabama,Clarke,41,5.1,32,4740,14,18,53,71.7,45447,2234,13,,,,Alabama,Clarke,22515,,TRUE
Alabama,Clay,39,7.5,31,414,13,18,64,72.9,47036,1310,16,,,,Alabama,Clay,14198,,TRUE
Alabama,Cleburne,38,7.3,29,303,12,18,42,74.3,49769,1424,17,,,,Alabama,Cleburne,15346,,TRUE
Alabama,Coffee,44,6.9,30,4491,12,17,49,75.3,55052,5305,15,,,,Alabama,Coffee,54805,,TRUE
Alabama,Colbert,37,6.7,29,4806,12,17,65,73.9,53341,4159,16,,,,Alabama,Colbert,58033,,TRUE
Alabama,Conecuh,43,6.2,35,1758,14,18,37,71.2,35621,912,14,,,,Alabama,Conecuh,11206,,TRUE
Alabama,Coosa,42,7.2,30,890,12,17,5,73.9,45954,822,16,,,,Alabama,Coosa,10166,,TRUE
Alabama,Covington,45,6.9,28,2070,12,18,58,72.9,44188,3159,15,,,,Alabama,Covington,37602,,TRUE
Alabama,Crenshaw,40,6.4,31,1878,13,18,24,72.6,38037,1245,15,,,,Alabama,Crenshaw,13025,,TRUE
Alabama,Cullman,38,7.5,29,2287,12,17,48,73.9,55036,8613,17,,,,Alabama,Cullman,90665,,TRUE
Alabama,Dale,39,6.5,29,4420,12,17,25,74.9,50086,4996,16,,,,Alabama,Dale,49544,,TRUE
Alabama,Dallas,48,5.8,35,3842,14,18,56,71.1,33159,2932,12,,,,Alabama,Dallas,36767,,TRUE
Alabama,DeKalb,42,,32,,14,18,43,73.8,45062,10043,16,,,,Alabama,DeKalb,71998,,TRUE
Alabama,Elmore,37,7.8,25,3953,11,17,52,75.3,63147,6396,16,,,,Alabama,Elmore,89563,,TRUE
Alabama,Escambia,44,6.6,34,2175,14,19,39,72.2,40506,3552,14,,,,Alabama,Escambia,36666,,TRUE
Alabama,Etowah,41,6.2,29,13991,12,18,61,72.5,46308,10279,15,,,,Alabama,Etowah,103088,,TRUE
Alabama,Fayette,39,7.2,32,74,13,19,32,73.1,46122,1573,16,,,,Alabama,Fayette,16118,,TRUE
Alabama,Franklin,38,7.2,32,1818,13,18,57,73.7,45440,3677,16,,,,Alabama,Franklin,31932,,TRUE
Alabama,Geneva,38,6.7,32,1035,14,19,35,72.6,43206,2865,16,,,,Alabama,Geneva,26783,,TRUE
Alabama,Greene,49,4,41,2058,16,19,4,72.9,30225,597,11,,,,Alabama,Greene,7422,,TRUE
Alabama,Hale,47,6.2,36,1099,14,18,28,72.5,41995,1143,13,,,,Alabama,Hale,14595,,TRUE
Alabama,Henry,42,7.2,29,1392,12,18,18,75.5,56389,1403,16,,,,Alabama,Henry,17655,,TRUE
Alabama,Houston,39,7.3,32,4308,12,17,75,75.6,48701,10521,15,,,,Alabama,Houston,108079,,TRUE
