,State,County,% Adults with Obesity,Food Environment Index,% Physically Inactive,% Limited Access to Healthy Foods,% Frequent Physical Distress,% Frequent Mental Distress,% With Access to Exercise Opportunities,Life Expectancy,Median Household Income,% Uninsured Adults,% Excessive Drinking,POPESTIMATE2022
1,Alabama,Autauga,37.0,6.6,26.0,11.891095901872522,11.0,16.0,56.0,76.6,66444.0,7.419802874880771,17.0,59759.0
2,Alabama,Baldwin,33.0,7.5,23.0,5.870107736319921,10.0,16.0,66.0,77.7,65658.0,7.185261833749265,19.0,246435.0
3,Alabama,Barbour,46.0,5.8,36.0,11.596373350603093,15.0,18.0,55.0,72.9,38649.0,8.779243908362341,13.0,24706.0
4,Alabama,Bibb,38.0,7.4,32.0,0.463531015678255,13.0,17.0,18.0,73.6,48454.0,8.802544876164509,16.0,22005.0
5,Alabama,Blount,33.0,7.8,29.0,2.4196800645248016,12.0,17.0,41.0,74.2,56894.0,9.421629251243447,16.0,59512.0
6,Alabama,Bullock,48.0,4.3,40.0,34.59125661634974,15.0,18.0,3.0,73.8,32027.0,7.155459713781612,13.0,10202.0
7,Alabama,Butler,45.0,6.8,32.0,7.769436997319035,13.0,18.0,45.0,73.5,39442.0,9.871313672922252,14.0,18650.0
8,Alabama,Calhoun,37.0,6.0,28.0,15.768473416934398,12.0,17.0,65.0,72.8,48166.0,9.266072477286075,16.0,115788.0
9,Alabama,Chambers,41.0,6.9,32.0,8.131893921614644,13.0,18.0,50.0,73.8,45447.0,9.023703356019713,15.0,34088.0
10,Alabama,Cherokee,41.0,7.4,29.0,5.145838273654257,12.0,18.0,38.0,74.0,46365.0,9.240376254841514,18.0,25302.0
11,Alabama,Chilton,38.0,7.1,31.0,4.156132856769244,13.0,18.0,33.0,74.4,55142.0,10.90358294830442,16.0,45884.0
12,Alabama,Choctaw,41.0,6.1,31.0,14.534930460647963,13.0,18.0,25.0,74.2,40601.0,8.489428410643942,15.0,12439.0
13,Alabama,Clarke,41.0,5.1,32.0,21.052631578947366,14.0,18.0,53.0,71.7,45447.0,9.922274039529203,13.0,22515.0
14,Alabama,Clay,39.0,7.5,31.0,2.9159036484011835,13.0,18.0,64.0,72.9,47036.0,9.226651641076208,16.0,14198.0
15,Alabama,Cleburne,38.0,7.3,29.0,1.9744558842695166,12.0,18.0,42.0,74.3,49769.0,9.279291020461358,17.0,15346.0
16,Alabama,Coffee,44.0,6.9,30.0,8.194507800383178,12.0,17.0,49.0,75.3,55052.0,9.6797737432716,15.0,54805.0
17,Alabama,Colbert,37.0,6.7,29.0,8.281495011458997,12.0,17.0,65.0,73.9,53341.0,7.166612100012062,16.0,58033.0
18,Alabama,Conecuh,43.0,6.2,35.0,15.688024272711049,14.0,18.0,37.0,71.2,35621.0,8.138497233624843,14.0,11206.0
19,Alabama,Coosa,42.0,7.2,30.0,8.754672437536888,12.0,17.0,5.0,73.9,45954.0,8.085776116466652,16.0,10166.0
20,Alabama,Covington,45.0,6.9,28.0,5.505026328386788,12.0,18.0,58.0,72.9,44188.0,8.401148875059837,15.0,37602.0
21,Alabama,Crenshaw,40.0,6.4,31.0,14.418426103646834,13.0,18.0,24.0,72.6,38037.0,9.558541266794625,15.0,13025.0
22,Alabama,Cullman,38.0,7.5,29.0,2.522472839574257,12.0,17.0,48.0,73.9,55036.0,9.499806981745989,17.0,90665.0
23,Alabama,Dale,39.0,6.5,29.0,8.921362829000484,12.0,17.0,25.0,74.9,50086.0,10.083965767802358,16.0,49544.0
24,Alabama,Dallas,48.0,5.8,35.0,10.449587945712189,14.0,18.0,56.0,71.1,33159.0,7.974542388554955,12.0,36767.0
26,Alabama,Elmore,37.0,7.8,25.0,4.413652959369382,11.0,17.0,52.0,75.3,63147.0,7.141341848754508,16.0,89563.0
27,Alabama,Escambia,44.0,6.6,34.0,5.931926035018818,14.0,19.0,39.0,72.2,40506.0,9.687448862706596,14.0,36666.0
28,Alabama,Etowah,41.0,6.2,29.0,13.571899736147758,12.0,18.0,61.0,72.5,46308.0,9.971092658699364,15.0,103088.0
29,Alabama,Fayette,39.0,7.2,32.0,0.45911403399925543,13.0,19.0,32.0,73.1,46122.0,9.759275344335526,16.0,16118.0
30,Alabama,Franklin,38.0,7.2,32.0,5.693348365276212,13.0,18.0,57.0,73.7,45440.0,11.515094575973944,16.0,31932.0
31,Alabama,Geneva,38.0,6.7,32.0,3.8643915916812905,14.0,19.0,35.0,72.6,43206.0,10.697083971175745,16.0,26783.0
32,Alabama,Greene,49.0,4.0,41.0,27.72837510105093,16.0,19.0,4.0,72.9,30225.0,8.043654001616815,11.0,7422.0
33,Alabama,Hale,47.0,6.2,36.0,7.529976019184652,14.0,18.0,28.0,72.5,41995.0,7.831449126413155,13.0,14595.0
34,Alabama,Henry,42.0,7.2,29.0,7.88445199660153,12.0,18.0,18.0,75.5,56389.0,7.946757292551684,16.0,17655.0
35,Alabama,Houston,39.0,7.3,32.0,3.985973223290371,12.0,17.0,75.0,75.6,48701.0,9.73454602651764,15.0,108079.0
36,Alabama,Jackson,40.0,6.9,29.0,5.40545650488741,13.0,18.0,38.0,73.3,46998.0,8.893762643928078,16.0,52891.0
37,Alabama,Jefferson,39.0,6.7,25.0,12.455347012138398,10.0,15.0,80.0,74.1,55210.0,7.216013008540612,15.0,665409.0
38,Alabama,Lamar,39.0,7.3,29.0,0.4450930317402408,12.0,18.0,9.0,75.3,44265.0,8.252462604888727,17.0,13705.0
39,Alabama,Lauderdale,39.0,7.3,26.0,6.256909822899935,11.0,17.0,57.0,75.9,52222.0,8.160370470806651,17.0,95878.0
40,Alabama,Lawrence,39.0,7.0,30.0,5.536821822123201,13.0,18.0,57.0,72.9,55555.0,10.8478352501957,16.0,33214.0
41,Alabama,Lee,37.0,6.8,25.0,8.587565620972159,11.0,16.0,60.0,77.7,54188.0,7.596820321618826,17.0,180773.0
42,Alabama,Limestone,35.0,7.5,26.0,4.797114517583409,11.0,16.0,43.0,77.1,69207.0,8.32912533814247,17.0,110900.0
43,Alabama,Lowndes,49.0,4.7,37.0,23.350721080085915,15.0,18.0,1.0,70.3,36993.0,7.936994988237702,12.0,9777.0
44,Alabama,Macon,47.0,5.3,35.0,25.604882263987903,14.0,18.0,40.0,71.3,35354.0,8.047094404839058,13.0,18516.0
45,Alabama,Madison,35.0,7.4,23.0,7.751167717715858,9.0,15.0,74.0,77.4,78386.0,7.088077509199262,16.0,403565.0
46,Alabama,Marengo,44.0,6.0,32.0,14.857295278740997,13.0,18.0,48.0,71.0,42048.0,7.7087223259535875,13.0,18745.0
47,Alabama,Marion,38.0,7.1,30.0,1.087254767457813,13.0,18.0,48.0,73.1,44636.0,8.86266977637536,16.0,29156.0
48,Alabama,Marshall,40.0,6.7,30.0,9.385152328937972,12.0,17.0,53.0,73.9,50858.0,11.07993120304155,15.0,99423.0
49,Alabama,Mobile,39.0,6.6,28.0,9.753263767862308,12.0,17.0,64.0,74.4,49848.0,9.059067453228037,17.0,411411.0
50,Alabama,Monroe,44.0,6.0,32.0,13.4714491857349,14.0,18.0,41.0,73.3,40997.0,9.889713461142033,14.0,19404.0
51,Alabama,Montgomery,49.0,6.5,31.0,10.88659265509518,11.0,16.0,69.0,75.2,50645.0,8.7294189370077,14.0,226361.0
52,Alabama,Morgan,40.0,7.1,28.0,7.956622199322121,12.0,17.0,71.0,74.2,56340.0,10.234198259413416,17.0,124211.0
53,Alabama,Perry,51.0,3.4,41.0,36.701929060360925,17.0,19.0,55.0,70.8,31522.0,8.338518979464842,11.0,8035.0
54,Alabama,Pickens,42.0,6.9,34.0,1.5831416804835001,14.0,18.0,4.0,73.9,43926.0,8.386372145263946,14.0,18697.0
55,Alabama,Pike,39.0,6.7,30.0,10.456170109650452,12.0,17.0,61.0,73.9,38945.0,8.947719149451748,15.0,33014.0
56,Alabama,Randolph,43.0,6.4,30.0,13.439209929267316,12.0,18.0,41.0,73.9,45889.0,9.284220828328662,16.0,22479.0
57,Alabama,Russell,42.0,6.7,33.0,6.026812398599607,13.0,18.0,56.0,73.4,44849.0,9.102553155153274,14.0,58555.0
58,Alabama,St. Clair,38.0,7.9,26.0,2.1121662479240304,11.0,17.0,49.0,74.7,63015.0,8.302814802197334,16.0,93932.0
59,Alabama,Shelby,33.0,8.3,21.0,4.9340547117745475,9.0,15.0,74.0,80.3,85457.0,6.704908415357538,17.0,230115.0
60,Alabama,Sumter,48.0,5.9,36.0,12.477853707922044,15.0,18.0,33.0,71.9,29490.0,8.267949042436513,12.0,11853.0
61,Alabama,Talladega,42.0,6.7,32.0,7.995886201427438,13.0,18.0,50.0,72.9,47331.0,8.085101110229976,15.0,80704.0
62,Alabama,Tallapoosa,40.0,7.3,31.0,3.3164946189325724,12.0,18.0,60.0,73.9,47444.0,9.180759938502087,16.0,40977.0
63,Alabama,Tuscaloosa,42.0,7.2,29.0,5.5346735366162685,11.0,17.0,75.0,75.8,56274.0,6.833769744066222,17.0,236780.0
64,Alabama,Walker,36.0,6.9,30.0,3.873233963847744,13.0,18.0,40.0,69.6,46343.0,8.150577410279922,16.0,64339.0
65,Alabama,Washington,43.0,7.3,30.0,5.210950932416347,13.0,18.0,10.0,75.3,49795.0,10.607062557862717,15.0,15122.0
66,Alabama,Wilcox,51.0,4.1,39.0,27.47788050502038,15.0,19.0,2.0,69.8,30071.0,8.410378765284818,12.0,10059.0
67,Alabama,Winston,40.0,7.2,32.0,1.7470006314460114,13.0,19.0,76.0,74.8,47176.0,9.433803409808462,16.0,23755.0
69,Alaska,Aleutians East,29.0,7.3,28.0,13.47851677457328,9.0,10.0,11.0,112.5,71492.0,17.92230723955268,16.0,3398.0
70,Alaska,Aleutians West,30.0,8.0,26.0,8.473252635689184,8.0,10.0,81.0,91.5,86050.0,18.176493557204218,18.0,5122.0
71,Alaska,Anchorage,29.0,8.3,20.0,4.644691706280799,8.0,12.0,91.0,78.7,86152.0,8.000487558550558,22.0,287145.0
72,Alaska,Bethel,38.0,2.7,34.0,37.13644081722079,17.0,17.0,92.0,70.7,54849.0,14.734074601522703,20.0,18257.0
74,Alaska,Denali,31.0,4.2,20.0,8.786732615653186,9.0,12.0,72.0,89.1,85251.0,2.589467558917661,22.0,6874.0
